KODE APOTIK,Nama,Alamat,NPWP,NPPKP,PBF,SIPA,no_ijin,nama_apj,kode_petugas,delete_reason,Status,Latitude,Longitude,Kode Pos,Provinsi,Kabupaten,Kecamatan,Kelurahan,Kontak,validasi
Apt.NAR,Apotek Noura,"Jl. Raya Solo - Yogyakarta, Dusun 1, Tegalgondo, Kec. Wonosari, Kabupaten Klaten, Jawa Tengah 57473",,,,,,,,,active,-7.59628504,110.7030737,57473,JAWA TENGAH,,,Klaten,85725824460,
Apt.PBFS,"Apotek Nabila Farma, Semarang","Jl. Fatmawati No.19, Petet, Tuntang, Kec. Tuntang, Kabupaten Semarang, Jawa Tengah 50773",,,,,,,,,active,-7.263241584,110.4532834,50773,JAWA TENGAH,,,Kab. Semarang,,
Apt.nblbny,Apotek Nabila Farma 2 Banyubiru (Anissa TO/Agit D),"Jl. Wijaya Kusuma, Randusari, Banyubiru, Kec. Banyubiru, Kabupaten Semarang, Jawa Tengah 50664",,,,,,,,,active,-7.292518439,110.4035717,50664,JAWA TENGAH,,,SALATIGA,,
APT.NBLF,Apotek Nabila Farma,"Pondok Baru RT 6 Sambung Macan, Dusun I, Sambungmacan, sragen, Kabupaten Sragen, Jawa Tengah 57253",,,,,,,,,active,-7.361175369,111.1168854,57253,JAWA TENGAH,,,Sragen,85702225757,
Apt.nblmcn,Apotek Nabila Farma MAcanan,"Jl. Salatiga-Bringin, Karangrejo, Pabelan, Kec. Pabelan, Kabupaten Semarang, Jawa Tengah 50771",,,,,,,,,active,-7.284455014,110.5151545,50771,JAWA TENGAH,,,SALATIGA,,
Apt.nblmh,Apotek Nabila Maharani,"Jl. Mantingan - Pandean, Ngelo, Jatimulyo, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261",,,,,,,,,active,-7.351353665,111.1487692,63261,JAWA TENGAH,,,NGAWI,,
Apt.NDA,Apotek Nadia,"Jl. Cempaka No.49, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57117",,,,,,,,,active,-7.582299622,110.8348501,57117,JAWA TENGAH,,,Surakarta,(0271) 636550,
Apt.NDA2,Apotek NAdia,Jl. Wisma Asri Regensi Ruko A,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,"Mojolaban,Bekonang",0271 612635,
Apt.NDSR01,Apotek Ndang Saras,"Jalan Prof. Dr. Soeharso No. 51, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144",,,,,,,,tutup permanen,deleted,,,57144,JAWA TENGAH,,,Surakarta,(0271) 7000047,
Apt.NDWR3,Apotek Ngudi Waras III,"Dusun I, Purbayan, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah",,,,,,,,,active,-7.573984023,110.7710566,,JAWA TENGAH,,,Surakarta,,
Apt.NDWRS,Apotek Ngudi Waras,"Jl. Mangesti Raya No.18, Gentan, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",,,,,,,,,active,-7.582143707,110.7837499,57556,JAWA TENGAH,,,Sukoharjo,0271 7650706,
Apt.NFSH,Apotek Nafisah,"JL Punung-Pacitan RT. 2/RW. 1, Dusun Kebon, Tukul, Punung, Kec. Punung, Kabupaten Pacitan, Jawa Timur 63553",,,,,,,,,active,-8.137526614,111.0163413,63553,JAWA TENGAH,,,Pacitan,,
APT.NGDRHY,APOTEK NGUDI RAHAYU,"Bulurejo, RT.01 / RW.03, Bulukerto, Bulurejo, Kec. Bulukerto, Kabupaten Wonogiri, Jawa Tengah 57671",,,,,,,,,active,-7.788325194,111.2415493,57671,JAWA TENGAH,,,Wonogiri,82242936368,
APT.NGDRJM,APOTEK NGADIROJO MULIA,"NGADIROJO, WNG",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,WNG,0273 5327139,
apt.NGDSHT,APOTEK NGUDI SEHAT," Jl. Raya Wonogiri- Ponorogo, Dusun 1, Slogohimo, Kec. Slogohimo, Kabupaten Wonogiri, Jawa Tengah 57694",,,,,,,,,active,-7.827717813,111.1767888,57694,JAWA TENGAH,,,Slogoimo,82242445999,
Apt.NGDWS,"Apotek Ngudi Waras, Purwantoro",Jl. Purwantoro-Bulukerto KM 1,,,,,,,,tidak ditemukan ,deleted,,,,JAWA TENGAH,,,Purwantoro,81226374805,
Apt.NGH01,Apotek Nugraheni,"Jl. Gatot Subroto No.216, Kratonan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57153",,,,,,,,tutup permanen,deleted,,,57153,JAWA TENGAH,,,Solo,(0271) 643026,
Apt.NGKRK8,Apotek Ngangkruk 8,"Jl. Solo - Purwodadi No.Km. 8, RT.04/RW.01, Sidorejo, Selokaton, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah 57188",,,,,,,,,active,-7.504162661,110.8136318,57188,JAWA TENGAH,,,KRA,81501178033,
Apt.NGP01,Apotek Ngemplak,"Jl. A. Yani No.143, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134",,,,,,,,tutup permanen,deleted,,,57134,JAWA TENGAH,,,Surakarta,(0271) 651242,
Apt.NGRH,"Apotek Nugroho, Purwodadi","Jl. Diponegoro No.32, Area Sawah, Kalongan, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111",,,,,,,,,active,-7.107472704,110.9122624,58111,JAWA TENGAH,,,Purwodadi,0292 422019,
Apt.ngrobs,Apotek Ngrombo Sehat,"Jl. Tangen - Galeh, Nglorok, Ngrombo, Kec. Tangen, Kabupaten Sragen, Jawa Tengah 57261",,,,,,,,,active,-7.285548316,111.0477485,57261,JAWA TENGAH,,,SRAGEN,,
APT.NGRT,APOTEK NGROTO,"Pasar Ngroto, Ngroto Ngroto rt14, Ngijo, Sumberejo, Kec. Mondokan, Kabupaten Sragen, Jawa Tengah 57271",,,,,,,,,active,-7.299255563,110.9120128,57271,JAWA TENGAH,,,Sragen,82225633994,
Apt.NGSM,Apotek Ngasem,"Ngasem, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57179",,,,,,,,,active,-7.541748971,110.7143296,57179,JAWA TENGAH,,,KRA,0271 7967533,
Apt.NGSRF,Apotek Nogosari Farma,"Jl. Nogosari - kalioso No.19, Dusun 1, Glonggong, Kec. Nogosari, Kabupaten Boyolali, Jawa Tengah 57378",,,,,,,,,active,-7.443654589,110.7521332,57378,JAWA TENGAH,,,Boyolali,85102095355,
Apt.NGTRFR,Apotek Nguter Farma,"Dusun II, Nguter, Kec. Nguter, Kabupaten Sukoharjo, Jawa Tengah 57571",,,,,,,,,active,-7.74459073,110.8771032,57571,JAWA TENGAH,,,Sukoharjo,87805425553,
apt.ngwen,Apotek Diana Farma Ngawen (Lucky P),kampung lor rt 3 rw 3 ngawen gn. kidul DIY,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,YOGYAKARTA,,
Apt.NHYT03,Apotek Nur Hayati,"Jl. Slamet Riyadi No.233a, Somotalen, Ngadirejo, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57163",,,,,,,,,active,-7.560923664,110.7546096,57163,JAWA TENGAH,,,Kartasura,(0271) 744123,
Apt.NIRAF,Apotek Nira Farma,"Jalan Papagan Dukuh, RT.03/RW.12, Dusun II, Makamhaji, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57161",,,,,,,,tutup permanen,deleted,,,57161,JAWA TENGAH,,,Sukoharjo,(0271) 58881682,
Apt.NISA,Apotek Nisa,"Jl. Ahmad Yani No.35, Dusun I, Karang Tengah, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57216",,,,,,,,tutup permanen,deleted,,,57216,JAWA TENGAH,,,Sragen,,
Apt.NLF,Apotek Nila Farma,"Jl. Jambu, Sanggir Lor, Paulan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57176",,,,,,,,,active,-7.540940116,110.7547559,57176,JAWA TENGAH,,,KRA,8562503016,
Apt.NLRGN,Apotek Ngalarangan,"Nglarangan, Kebak, Kec. Kebakkramat, Kabupaten Karanganyar, Jawa Tengah 57762",,,,,,,,,deleted,-7.515267172,110.9118947,57762,JAWA TENGAH,,,"Kebak Kramat, Kra",0271 7082102,
apt.nmf,Apotek Nomi Farma,"Pojok, Delingan, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57716",,,,,,,,,active,-7.598114522,110.9827403,57716,JAWA TENGAH,,,KRA,,
APT.NNFRM,APOTEK NINA FARMA," Nglarangan, Kebak, Kec. Kebakkramat, Kabupaten Karanganyar, Jawa Tengah 57762",,,,,,,,,active,-7.516928247,110.9103491,57762,JAWA TENGAH,,,SRAGEN,"02718201050, 08156730804",
Apt.nobel,Apotek Nobel Farma,"Jl. Jaya Wijaya No.232, Mojosongo, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134",,,,,,,,,active,-7.534364559,110.8350934,57134,JAWA TENGAH,,,SURAKARTA,,
APT.NPG,Apotek Ngipang Sehat,"Jl. Samudera pasai utara III , Ngipang, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136",,,,,,,,,active,-7.526691708,110.8120222,57136,JAWA TENGAH,,,"BAnjarsari, Solo",8562812308,
APT.NRASY,APOTEK NUR ASYIFA,"Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137",,,,,,,,,active,-7.543611104,110.8064819,57137,JAWA TENGAH,,,SKA,,
APT.NRG,APOTEK NIROGA,"Ruko Papagan No. 1, Jl. Papagan, Dusun II, Makamhaji, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57161",,,,,,,,,active,-7.561495657,110.7783594,57161,JAWA TENGAH,,,"MAKAMHAJI, KTS",,
Apt.nrhyt,Apotek Nurhayati Farma,"Dusun 2, Kebonan, Kec. Karanggede, Kabupaten Boyolali, Jawa Tengah 57381",,,,,,,,,active,-7.359469194,110.6397885,57381,JAWA TENGAH,,,BOYOLALI,,
Apt.NRN04,Apotek Nurani,"Jl. Jenderal Ahmad Yani No.25, Wonokarto Selatan, Wonokarto, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",,,,,,,,,active,-7.804409096,110.9166958,57612,JAWA TENGAH,,,Wonogiri,(0273) 3301221,
Apt.NRNSKH,"Apotek Nurani, SKH","Jl. Raya Manang No.Raya, Dusun II, Manang, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.586078811,110.7928899,57552,JAWA TENGAH,,,Sukoharjo,0271 742805,
Apt.NRSFS,"Apotek NuruSyifa, SKH","Dusun II, Kedungwinong, Kec. Nguter, Kabupaten Sukoharjo, Jawa Tengah 57571",,,,,,,,,active,-7.724506736,110.8795808,57571,JAWA TENGAH,,,Sukoharjo,0271 2018870,
Apt.NRT01,Apotek Nurrita,"Jl. Gatot Subroto No.230, Kratonan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57153",,,,,,,,,active,-7.58036661,110.8180609,57153,JAWA TENGAH,,,Surakarta,(0271) 642681,
Apt.NRWN,Apotek Nurwina,"Jl. Tirtorejo Utara No.12, Pajang, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57146",,,,,,,,,active,-7.569239287,110.7867898,57146,JAWA TENGAH,,,Surakarta,0271 716554/719280,
Apt.NSDF,PT.PUTRA RAJAWALI (Apt.Nusindo Farma),Jl. Pemuda Utara 115 Klaten,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,0272 3101420,
Apt.NSNDS,"Apotek Nusindo, Solo (PT. MITRA RAJAWALI BANJARAN)","Jl. Rajiman no.375, Solo",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Solo,,
Apt.NTRA,Apotek Notria,"Jl. Yos Sudarso No.173, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57151",,,,,,,,,active,-7.57775374,110.8220987,57151,JAWA TENGAH,,,Surakarta,(0271) 655208,
Apt.NTS,PT. Pesona NAtasha Gemilang (Apt. Natasha Rajiman),"JL. Jend A Yani, A 2-A 3, Ruko Top Square, Potrobangsan, Kec. Magelang Utara, Kota Magelang, Jawa Tengah 56116",,,,,,,,,active,-7.458820584,110.222714,56116,JAWA TENGAH,,,Surakarta,,
Apt.NTSH,Apt.Natasha (PT. Pesona Natasha Gemilang),"Jl. Rajawali 15, Bareng KLT",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KLT,,
Apt.NTSSS,"Apotek Natasha, Solo Square (PT Pesona Natasha G)","Ruko Solo Square Unit 19-20, Jl. Slamet Riyadi No.451-455, Pajang, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57146",,,,,,,,,active,-7.560489458,110.7888172,57146,JAWA TENGAH,,,,,
Apt.NUFA,Apotek Nufa (Nurindra Farma),"Tegalsari, Bulakan, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57551",,,,,,,,,active,-7.673548127,110.7899722,57551,JAWA TENGAH,,,Sukoharjo,85649353609,
Apt.NULF,Apotek Nauli Farma,"Jl. Ir. Juanda No.238, Pucangsawit, Kec. Jebres, Kota Surakarta, Jawa Tengah 57125",,,,,,,,,active,-7.569942675,110.8497523,57125,JAWA TENGAH,,,Surakarta,,
Apt.NYFRM,"Apotek NAyla Farma, Sragen","Jl. Gemolong-Sragen, Karanganom, Taraman, Kec. Sidoharjo, Kabupaten Sragen, Jawa Tengah 57281",,,,,,,,,active,-7.421038137,110.9637289,57281,JAWA TENGAH,,,Sragen,0271 7919282,
Apt.NYLF,"Apotek Nayla FArma, SKH",Jl. Pahlawan Toriyo Bendosari,,,,,,,,,deleted,,,,JAWA TENGAH,,,Sukoharjo,0271 8098553,
Apt.OLV01,Apotek Olive,"Jl. Dr. Cipto Mangunkusumo No.33, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",,,,,,,,,active,-7.561087491,110.8109683,57139,JAWA TENGAH,,,Surakarta,(0271) 713719,
Apt.orin,Apotek Orin,"Manisrenggo, Dusun 2, Mranggen, Kec. Jatinom, Kabupaten Klaten, Jawa Tengah 57481",,,,,,,,,active,-7.653613784,110.5776517,57481,JAWA TENGAH,,,KLATEN,,
Apt.PADM,Apotek Padma,"Jl. R. M. Said No.156, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132",,,,,,,,,active,-7.559672834,110.8162204,57132,JAWA TENGAH,,,SURAKARTA,0271-723164,
Apt.PBF,Apotek Putra Bungsu Farma,"Petengan, Keden, Kec. Pedan, Kabupaten Klaten, Jawa Tengah 57468",,,,,,,,,active,-7.707597441,110.7044589,57468,JAWA TENGAH,,,Klaten,081339056197/085877110104,
Apt.PCG,Apotek Pucangan,"Jl. Jenderal Sudirman No.178, RT.01/RW.11, Dusun III, Pucangan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57168",,,,,,,,,active,-7.554486024,110.7307779,57168,JAWA TENGAH,,,"Kartosuro, SKH",0271 780096,
APT.PCTN,APOTEK PACITAN,"JL. GATOT SUBROTO 37, PACITAN",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,PACITAN,(0357) 881190,
Apt.PDGAR,Apotek PAdang Aran,"Jl. Sunan Pandanaran No.47, Mendin, Paseban, Kec. Bayat, Kabupaten Klaten, Jawa Tengah 57462",,,,,,,,,active,-7.784885792,110.6324465,57462,JAWA TENGAH,,,Klaten,85741944361,
Apt.PDM,Apotek Pahlawan,"JL. Pahlawan Gudang kapuk Rt.03/08, Mbayanan, Siswodipuran, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57311",,,,,,,,,active,-7.542664804,110.6028623,57311,JAWA TENGAH,,,boyolali,81329073189,
Apt.PDWRS,Apotek Podo Waras,Mojosongo,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,,
Apt.PERMT,Apotek Permata,"Jl. Adi Sumarmo No.313, Banyuanyar, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57137",,,,,,,,tutup permanen,deleted,,,57137,JAWA TENGAH,,,Surakarta,,
Apt.PFP,"Apotek Prima Farma, Prambanan","Area Sawah, Kb. Dalem Lor, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",,,,,,,,,active,-7.725028459,110.5020399,57454,JAWA TENGAH,,,,,
Apt.PG,Apotek Pengging,"Jl. Raya Pengging, RT02/ RW01, Bantulan, Jembungan, Boyolali, Boyolali Regency, Central Java 57373",,,,,,,,,active,-7.547741035,110.6785925,57373,JAWA TENGAH,,,Boyolali,,
Apt.PGG,Apotek Penggung,"Jl. Klaten - Solo, Jetis, Klepu, Kec. Ceper, Kabupaten Klaten, Jawa Tengah 57465",,,,,,,,,active,-7.664502596,110.6673234,57465,JAWA TENGAH,,,Klaten,,
Apt.PGST,Apotek Pangestu,"Jl. Klaten-Jogja, Karang Dukuh, Karangdukuh, Kec. Jogonalan, Kabupaten Klaten, Jawa Tengah 57452",,,,,,,,,active,-7.719235171,110.572704,57452,JAWA TENGAH,,,Klaten,0272 3159131,
APT.PGTSKH,"APOTEK PANGESTU, SUKOHARJO","Dusun I, Kepuh, Kec. Nguter, Kabupaten Sukoharjo, Jawa Tengah 57571",,,,,,,,,active,-7.707827709,110.8576758,57571,JAWA TENGAH,,,SUKOHARJO,,
Apt.PGTW,Apotek Pangestu Waras,"Jl. Pandan Raya No. 28,Baturan",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,"Colomadu, KRA",0271 741484,
Apt.PGY02,Apotek Pringgolayan (Abdul Rachim),"Jl. Pangeran Wijil No.23, pringgolayan, Tipes, Kec. Serengan, Kota Surakarta, Jawa Tengah 57154",,,,,,,,,active,-7.581130104,110.8107404,57154,JAWA TENGAH,,,Surakarta,(0271) 737759,
Apt.PH,Apotek Pamor Sehat,"Jl. Brigjend Katamso No.148, Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57127",,,,,,,,,active,-7.541338943,110.8443387,57127,JAWA TENGAH,,,Surakarta,8882976937,
Apt.PJG,Apotek Pajang,"Jl. Joko Tingkir, Dusun I, Pajang, Kec. Laweyan, Kabupaten Sukoharjo, Jawa Tengah 57161",,,,,,,,,active,-7.567969729,110.7836408,57161,JAWA TENGAH,,,Sukoharjo,(0271) 739632,
Apt.PJGF,Apotek Pajang Farma (PT Pajang Kusuma Medika),"Jl. Mr. Sartono No.73, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135",,,,,,,,,active,-7.550046441,110.8330093,57135,JAWA TENGAH,,,Surakarta,0271 857111,
Apt.PJJY,Apotek Puji JAya,"Blimbing, RT.01/RW.06, Wonorejo, Kec. Polokarto, Kabupaten Sukoharjo, Jawa Tengah 57555",,,,,,,,,active,-7.621467818,110.8932733,57555,JAWA TENGAH,,,Sukoharjo,,
Apt.PKRK,Apotek Pungkruk,"Kebayan 2, Jetak, Kec. Sidoharjo, Kabupaten Sragen, Jawa Tengah 57281",,,,,,,,tutup permanen,deleted,,,57281,JAWA TENGAH,,,Sragen,,
APT.PLGHSD,APOTEK PELANGI HUSADA,"Jl. Jend. A. Yani No.110, Caruban, Sidoharjo, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63511",,,,,,,,,active,-8.195543118,111.0951901,63511,JAWA TENGAH,,,PACITAN,0357 885125,
Apt.PLHJ,Apotek Polanharjo,"Jalan, Karanglo, Polanharjo, Klaten Regency, Central Java 57474",,,,,,,,,active,-7.606902586,110.6499192,57474,JAWA TENGAH,,,"Polanharjo, Klaten",0878 3477 4099,
Apt.plhknd,Apotek Puluh Kandang,"Dusun I, Mojolegi, Kec. Teras, Kabupaten Boyolali, Jawa Tengah 57372",,,,,,,,,active,-7.528428186,110.6578125,57372,JAWA TENGAH,,,BOYOLALI,,
Apt.PLKRT,Apotek Polokarto,"JL Raya Glondongan, Jatirejo, Mranggen, Kec. Polokarto, Kabupaten Sukoharjo, Jawa Tengah 57513",,,,,,,,,active,-7.62859614,110.8967,57513,JAWA TENGAH,,,Sukoharjo,0271 610398,
Apt.PLRSHT,Apotek PAlur Sehat,"Jl. Nusa Indah No.14, Sumbermakmur, Ngringo, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57731",,,,,,,,,active,-7.556686194,110.8765936,57731,JAWA TENGAH,,,"Palur, KRA",0271 7072789,
Apt.PMF,Apotek Prima Farma,Komplex Ruko Flamboyan Indah K-2,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,"Colomadu, KRa",85229678666,
Apt.PMFRM,"Apotek Prima FArma, WNG","Jl. Raya WNG, Ngadirojo KM 4",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,WNG,,
Apt.PND,Apotek Pondok,"Jl. Pesanggrahan Langenharjo, RT.02/RW.07, Deresan, Pondok, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.621128024,110.8050448,57552,JAWA TENGAH,,,Sukoharjo,,
Apt.PNDF,Apotek Pandan Farma,"pandan kidul, rt 01 rw 13, Karangpandan, Kec. Karangpandan, Kabupaten Karanganyar, Jawa Tengah 57791",,,,,,,,,active,-7.615166689,111.0725329,57791,JAWA TENGAH,,,KRA,85229566370,
Apt.PNDN,Apotek PAndan,"Kios Sinduharjo, Jl. Raya Solo - Yogyakarta, Somopuro, Kec. Jogonalan, Kabupaten Klaten, Jawa Tengah 57452",,,,,,,,,active,-7.741136746,110.5320374,57452,JAWA TENGAH,,,"Somopuro, Jogonalan KLT",0272-3110944,
Apt.PPG,Apotek Popongan,"Jl. Lawu, Popongan, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57715",,,,,,,,,active,-7.609915162,110.987081,57715,JAWA TENGAH,,,KRA,81548737053,
Apt.PRFRM,Apotek Puri FArma,"Jl. Adisucipto No.25, Kalicacing, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50724",,,,,,,,,active,-7.32988585,110.5005784,50724,JAWA TENGAH,,,Salatiga,0298 326807,
Apt.PRM,Apotek Prima,Jl. A. Yani No. 9 Ruko SLT UMS,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,KTS,0271 718951,
Apt.PRMBN,Apotek Prambanan,"Kios Sidodadi no.18, RT 03/01, Tlogo, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",,,,,,,,,active,-7.754800412,110.5016394,57454,JAWA TENGAH,,,jogja,0274 7490241,
APT.PRMFRM,"APOTEK PRIMA FARMA, PACITAN","Jl. Jend. Sudirman No.139, Gemulung, Tanjungsari, Kec. Pacitan, Kabupaten Pacitan, Jawa Timur 63518",,,,,,,,,active,-8.195637444,111.1096338,63518,JAWA TENGAH,,,PACITAN,087702214738/081803304805,
Apt.PRMHSD,Apotek Prima Husada,Jl. Jatiroto-JAtisrono,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,JAtisrono,,
Apt.PRMMDK,"Apotek Prima Medika, Purwodadi","Jl. Brigjen Katamso 45, Jajar, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111, Indonesia",,,,,,,,,active,-7.080667976,110.9122668,58111,JAWA TENGAH,,,Purwodadi,,
Apt.PRMN,Apotek Permana,"Jl. Hayam Wuruk No.40, Kwarungan, Kalongan, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58114",,,,,,,,,active,-7.095160963,110.9180942,58114,JAWA TENGAH,,,,,
Apt.PRMT,Apotek Paramita,"Wates Timus, Klego, BYL",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,,,
Apt.PRMTHT,Apotek Permata HAti,"Jl. Mayor Achmadi, Rw. 4, Bekonang, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",,,,,,,,,active,-7.60721763,110.8707554,57554,JAWA TENGAH,,,"Bekonang, SKH",,
Apt.PRMWR,"Apotek Prima, Weru","Sidowayah 02/07, Ngreco Weru, SKH",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,SKH,85725289558,
APT.PRRJKB,"Apotek Puri Rejeki, Sumber","Jl. Kahuripan No.9, Sumber, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57138",,,,,,,,,active,-7.549262286,110.8119668,"Jl. Karangpandan-Ngargoyoso, Gadungan, Girimulyo, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793",JAWA TENGAH,,,Surakarta,0271 721970,
Apt.PRSD,Apotek Persada,"Ngelencot, Bulungan, Kec. Pakis Aji, Kabupaten Jepara, Jawa Tengah 59452",,,,,,,,,active,-6.589619672,110.70821,59452,JAWA TENGAH,,,Jepara,85226151475,
Apt.PRSM,Apotek Prisma,"Jl. Pelem 2 No.1, Sukorejo, Giritirto, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57611",,,,,,,,,active,-7.81728101,110.9234396,57611,JAWA TENGAH,,,Wonogiri,,
Apt.PRTM,"Apotek Pratama, Klaten","Peraksangkal, Jonggrangan, Kec. Klaten Utara, Kabupaten Klaten, Jawa Tengah 57435",,,,,,,,tutup permanen,deleted,,,57435,JAWA TENGAH,,,Klaten,85747381661,
Apt.PRTS,Apotek Perintis Farma,Jl. Perum Joho Baru WNG,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Wonogiri,,
Apt.PRWFRM,Apotek Purwa Farma,"Jl. Danyang - Kuwu, Pulogendol, Nambuhan, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58114",,,,,,,,,active,-7.117963654,110.9713166,58114,JAWA TENGAH,,,Purwodadi,,
Apt.PRYT,Apotek Paryanti,"Jl. Jeruk rt 03 rw 21, Ngringo, Jaten, Karanganyar",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,,,
Apt.PSPLR,Apotek Pasar Palur,"Ngringo, Jl. Solo - Sragen, Ngringo, Kec. Jaten, Kabupaten Karanganyar, Jawa Tengah 57772",,,,,,,,,active,-7.566707311,110.8750893,57772,JAWA TENGAH,,,Karanganyar,0271 825/7045979,
Apt.PSRLG,CV Empat Sehat (Apt Ps Legi),"Jl. S. Parman 131, SKA",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,sawahan Boyolali,0271 635636,
Apt.PST,Apotek Pasutri,"Gondang Lor, Jeblok, Kec. Karanganom, Kabupaten Klaten, Jawa Tengah",,,,,,,,,active,-7.614575483,110.6326306,,JAWA TENGAH,,,Klaten,85293714138,
apt.ptrsht,Apotek Putra Sehat,"Jl. Jend. Sudirman No.278, Ngepeng, Sidorejo, Kec. Bendosari, Kabupaten Sukoharjo, Jawa Tengah 57527",,,,,,,,,active,-7.664594766,110.8367118,57527,JAWA TENGAH,,,Sukoharjo,0271 592214 / 082137069940,
Apt.puasfa,Apotek Puas Farma,"Jl. Solo - Purwodadi Jl. Godegan - Kragilan No.KM 18,5, Kabayanan I, Kragilan, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274",,,,,,,,,active,-7.413572693,110.8188843,50274,JAWA TENGAH,,,SRAGEN,,
Apt.PYGWRS,Apotek Prayogi Waras,"Jl. Kh Samanhudi No.39, Tegalrejo, Jetis, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57511",,,,,,,,,active,-7.685586462,110.830853,57511,JAWA TENGAH,,,Sukoharjo,,
Apt.QFM,Apotek Qiana Farma,"Jl. Cokro - Delanggu, Wangen III, Wangen, Kec. Polanharjo, Kabupaten Klaten, Jawa Tengah 57474",,,,,,,,,active,-7.603405956,110.6486639,57474,JAWA TENGAH,,,KLT,,
APT.QRN,Apotek Qirani,"Jati Tengah, Kec. Sukodono, Kabupaten Sragen, Jawa Tengah 57263",,,,,,,,,active,-7.368983022,110.989571,57263,JAWA TENGAH,,,Sragen,,
